0.18764,0.23221,0.93624,0.40086,0.88689,0.73484,0.76116
0.68266,0.34355,0.68527,0.086292,0.48954,0.34905,0.52164
0.21848,0.54582,0.80787,0.25311,0.62832,0.83575,0.52027
0.80259,0.90243,0.6119,0.23804,0.21023,0.22633,0.078947
0.55544,0.75365,0.84515,0.16618,0.66756,0.59864,0.49719
0.77308,0.81689,0.82307,0.33167,0.66459,0.69357,0.49051
0.75879,0.86647,0.49273,0.092038,0.14201,0.1962,0.19532
0.20289,0.47786,0.834,0.55213,0.87719,0.55647,0.47265
0.20282,0.24172,0.93832,0.20841,0.65601,0.74751,0.5735
0.20208,0.47683,0.86791,0.40877,0.69808,0.77367,0.73281
0.12126,0.68909,0.88766,0.52397,0.84449,0.62896,0.68892
0.41736,0.40318,0.72416,0.095895,0.36807,0.57077,0.38417
0.20468,0.89757,0.76549,0.12363,0.46995,0.75276,0.48993
0.070708,0.043915,0.81832,0.037337,0.44479,0.81222,0.29933
0.14163,0.39866,0.9227,0.36721,0.93998,0.59683,0.74512
0.64387,0.51834,0.70575,0.029683,0.15598,0.58697,0.33513
0.21398,0.02448,0.91426,0.61941,0.89501,0.77158,0.65259
0.69616,0.35736,0.68043,0.085332,0.32651,0.37321,0.51429
0.05867,0.74899,0.86852,0.25113,0.62691,0.53937,0.64495
0.45221,0.55291,0.46239,0.00037275,0.032477,0.56389,0.24145
0.19116,0.74161,0.84339,1,0.80709,0.55059,0.92661
0,0.58723,0.76826,0.095805,0.35072,0.58326,0.32599
0.91949,0.87023,0.11422,0.090575,0,0.27303,0.19556
0.48586,0.46646,0.80384,0.086391,0.40878,0.62742,0.46191
0.88464,0.76847,0.52979,0.18296,0.25321,0.35692,0.35899
0.91616,0.75805,0.68583,0.36063,0.39618,0.3229,0.33306
0.6621,0.78702,0.82803,0.27041,0.36963,0.42407,0.7711
0.014769,0.44595,0.87685,0.10178,0.48883,0.64869,0.51444
0.96105,0.74547,0.45979,0.1935,0.28925,0.29122,0.25587
0.066492,0.60799,0.69262,0.11623,0.48797,0.45747,0.53273
0.060621,0.44234,0.76151,0.19338,0.74839,0.79303,0.55101
0.19896,0.52579,0.80851,0.1375,0.35554,0.81864,0.58645
0.73229,0.3287,0.66971,0.082714,0.32991,0.36534,0.3237
0.20873,0.48175,0.84094,0.55549,0.66715,0.6295,0.85156
0.36394,0.61574,0.28577,0,0.029114,0.5876,0.19731
0.5436,0.94875,0.4623,0.089326,0.11451,0.79719,0.40908
0.093108,0.19653,0.9327,0.37034,0.92228,0.83557,0.66339
0.83425,0.66635,0.46976,0.094403,0.21992,0.31086,0.24873
0.40072,0.83508,0.81445,0.12755,0.5167,0.79357,0.53929
0.2817,0.026996,0.88035,0.69981,0.92261,0.80914,0.79136
0.57335,0.53631,0.47704,0,0.14861,0.48751,0.27573
0.22932,0.44429,0.37726,0.054102,0.28086,0.61738,0.21002
